Title,Released,Tagline
Bay Rong,"2010",Dinh cua dinh ^_^
The Matrix,"2003",Free your mind
The Matrix,"2003","Everything that, has, a beginning has an end"
The Devil,"1997",Evil has its winning ways
A Few Good Men,"1992",OK
Top Gun,"1986",Good
Jerry Maguire,"2000",The rest of his life begins now
Stand By Me,"1995",For everyone
As Good as It Gets,"1997",A comedy from the heart that goes for the throat
What Dreams May Come,"1998",After life there is more. The end is just the beginning
Joe Versus the Volcano,"1990","A story of love, lava and burning desire."
Sleepless in Seattle,"1993","What if someone you never met, someone you never saw, someone you never knew was the only someone for you?"
When Harry Met Sally,"1998","At odds in life... in love on-line."
That Thing You Do,"1996","In every life there comes a time when that thing you dream becomes that thing you do"
The Replacements,"2000","Pain heals, Chicks dig scars... Glory lasts forever"
RescueDawn,"2006","Based on the extraordinary true story of one man's fight for freedom"
The Birdcage,"1996","Come as you are"
Unforgiven,"1992","It's a hell of a thing, killing a man"
Johnny Mnemonic,"1995","The hottest data on earth. In the coolest head in town"
Cloud Atlas,"2012","Everything is connected"